keyLength        |encrypt          |decrypt          |
1024             |3.389000         |0.842000         |
1024             |3.451000         |0.846000         |
1024             |3.349000         |0.831000         |
1024             |3.315000         |0.838000         |
1024             |3.328000         |0.840000         |
1024             |3.309000         |0.841000         |
1024             |3.316000         |0.837000         |
1024             |3.318000         |0.846000         |
1024             |3.323000         |0.848000         |
1024             |3.317000         |0.843000         |
1024             |3.309000         |0.843000         |
1024             |3.311000         |0.839000         |
1024             |3.304000         |0.839000         |
1024             |3.320000         |0.844000         |
1024             |3.308000         |0.834000         |
1024             |3.315000         |0.836000         |
1024             |3.316000         |0.840000         |
1024             |3.304000         |0.837000         |
1024             |3.301000         |0.829000         |
1024             |3.315000         |0.846000         |
1024             |3.301000         |0.853000         |
1024             |3.321000         |0.848000         |
1024             |3.314000         |0.838000         |
1024             |3.308000         |0.831000         |
1024             |3.317000         |0.846000         |
1024             |3.308000         |0.841000         |
1024             |3.317000         |0.842000         |
1024             |3.349000         |0.869000         |
1024             |3.389000         |0.846000         |
1024             |3.313000         |0.844000         |
1024             |3.301000         |0.835000         |
1024             |3.302000         |0.841000         |
1024             |3.304000         |0.841000         |
1024             |3.319000         |0.842000         |
1024             |3.323000         |0.846000         |
1024             |3.303000         |0.827000         |
1024             |3.321000         |0.845000         |
1024             |3.316000         |0.842000         |
1024             |3.319000         |0.848000         |
1024             |3.305000         |0.840000         |
1024             |3.315000         |0.849000         |
1024             |3.309000         |0.845000         |
1024             |3.363000         |0.836000         |
1024             |3.305000         |0.840000         |
1024             |3.313000         |0.839000         |
1024             |3.313000         |0.837000         |
1024             |3.301000         |0.841000         |
1024             |3.339000         |0.845000         |
1024             |3.321000         |0.847000         |
1024             |3.302000         |0.846000         |
1024             |3.312000         |0.838000         |
1024             |3.308000         |0.842000         |
1024             |3.323000         |0.840000         |
1024             |3.302000         |0.845000         |
1024             |3.307000         |0.845000         |
1024             |3.317000         |0.843000         |
1024             |3.309000         |0.852000         |
1024             |3.319000         |0.842000         |
1024             |3.316000         |0.854000         |
1024             |3.310000         |0.850000         |
1024             |3.299000         |0.845000         |
1024             |3.307000         |0.849000         |
1024             |3.301000         |0.847000         |
1024             |3.297000         |0.839000         |
1024             |3.309000         |0.851000         |
1024             |3.304000         |0.840000         |
1024             |3.316000         |0.843000         |
1024             |3.306000         |0.833000         |
1024             |3.306000         |0.844000         |
