keyLength        |encrypt(ms)      |decrypt(ms)      |

1024             |0.618000         |0.092000         |
1024             |0.582000         |0.086000         |
1024             |0.591000         |0.090000         |
1024             |0.577000         |0.086000         |
1024             |0.580000         |0.084000         |
1024             |0.583000         |0.101000         |
1024             |0.616000         |0.093000         |
1024             |0.586000         |0.086000         |
1024             |0.596000         |0.089000         |
1024             |0.597000         |0.088000         |
1024             |0.607000         |0.095000         |
1024             |0.644000         |0.085000         |
1024             |0.589000         |0.091000         |
1024             |0.578000         |0.085000         |
1024             |0.575000         |0.088000         |
1024             |0.629000         |0.095000         |
1024             |0.573000         |0.089000         |
1024             |0.572000         |0.087000         |
1024             |0.572000         |0.090000         |
1024             |0.604000         |0.088000         |
1024             |0.575000         |0.084000         |
1024             |0.593000         |0.087000         |
1024             |0.616000         |0.097000         |
1024             |0.635000         |0.086000         |
1024             |0.606000         |0.095000         |
1024             |0.593000         |0.087000         |
1024             |0.580000         |0.087000         |
1024             |0.609000         |0.092000         |
1024             |0.583000         |0.085000         |
1024             |0.625000         |0.093000         |
1024             |0.634000         |0.092000         |
1024             |0.587000         |0.091000         |
1024             |0.592000         |0.082000         |
1024             |0.585000         |0.085000         |
1024             |0.577000         |0.088000         |
1024             |0.563000         |0.085000         |
1024             |0.577000         |0.082000         |
1024             |0.591000         |0.115000         |
1024             |0.569000         |0.082000         |
1024             |0.577000         |0.085000         |
1024             |0.588000         |0.085000         |
1024             |0.589000         |0.085000         |
1024             |0.591000         |0.088000         |
1024             |0.584000         |0.087000         |
1024             |0.643000         |0.108000         |
1024             |0.588000         |0.084000         |
1024             |0.578000         |0.090000         |
1024             |0.593000         |0.090000         |
1024             |0.577000         |0.088000         |
1024             |0.574000         |0.087000         |
1024             |0.574000         |0.082000         |
1024             |0.556000         |0.088000         |
1024             |0.599000         |0.085000         |
1024             |0.589000         |0.096000         |
1024             |0.597000         |0.089000         |
1024             |0.590000         |0.104000         |
1024             |0.601000         |0.083000         |
1024             |0.584000         |0.086000         |
1024             |0.645000         |0.105000         |
1024             |0.616000         |0.082000         |
1024             |0.571000         |0.082000         |
1024             |0.625000         |0.110000         |
1024             |0.579000         |0.084000         |
1024             |0.590000         |0.098000         |
1024             |0.755000         |0.108000         |
1024             |0.676000         |0.094000         |
1024             |0.636000         |0.096000         |
1024             |0.611000         |0.089000         |
1024             |0.581000         |0.085000         |
1024             |0.595000         |0.089000         |
1024             |0.588000         |0.101000         |
1024             |0.618000         |0.085000         |
1024             |0.576000         |0.090000         |
1024             |0.577000         |0.095000         |
1024             |0.594000         |0.086000         |
1024             |0.581000         |0.082000         |
1024             |0.601000         |0.085000         |
1024             |0.577000         |0.087000         |
1024             |0.608000         |0.099000         |
1024             |0.646000         |0.098000         |
1024             |0.648000         |0.099000         |
1024             |0.639000         |0.100000         |
1024             |0.649000         |0.102000         |
1024             |0.647000         |0.097000         |
1024             |0.633000         |0.106000         |
1024             |0.643000         |0.127000         |
1024             |0.911000         |0.082000         |
1024             |0.665000         |0.102000         |
1024             |0.648000         |0.157000         |
1024             |0.908000         |0.119000         |
1024             |0.740000         |0.119000         |
1024             |0.723000         |0.104000         |
1024             |0.661000         |0.101000         |
1024             |0.686000         |0.096000         |
1024             |0.663000         |0.112000         |
1024             |0.638000         |0.089000         |
1024             |0.620000         |0.098000         |
1024             |0.649000         |0.099000         |
1024             |0.657000         |0.098000         |
1024             |0.668000         |0.102000         |
1024             |0.666000         |0.108000         |
1024             |0.669000         |0.099000         |
1024             |0.654000         |0.100000         |
1024             |0.683000         |0.103000         |
1024             |0.655000         |0.104000         |
1024             |0.668000         |0.106000         |
1024             |0.683000         |0.100000         |
1024             |0.640000         |0.097000         |
1024             |0.639000         |0.099000         |
1024             |0.645000         |0.098000         |
1024             |0.658000         |0.109000         |
1024             |0.665000         |0.103000         |
1024             |0.631000         |0.102000         |
